35600,2.4314
35700,2.4389
35800,2.4244
35900,2.3929
36000,2.3997
36100,2.4100
36200,2.4335
36300,2.4423
36400,2.4191
36500,2.4263
36600,2.4315
36700,2.4307
36800,2.4388
36900,2.4237
37000,2.4060
37100,2.4107
37200,2.4203
37300,2.4380
37400,2.4523
37500,2.4262
37600,2.4140
37700,2.4549
37800,2.4658
37900,2.4153
38000,2.4009
38100,2.4141
38200,2.4319
38300,2.4420
38400,2.4373
38500,2.4215
38600,2.4162
38700,2.4288
38800,2.4210
38900,2.4386
39000,2.4212
39100,2.4139
39200,2.4286
39300,2.4196
39400,2.4043
39500,2.3862
39600,2.3989
39700,2.4154
39800,2.4069
39900,2.4019
40000,2.4050
40100,2.4052
40200,2.4216
40300,2.4271
40400,2.4021
40500,2.3872
40600,2.4182
40700,2.4424
40800,2.4115
40900,2.3882
41000,2.4119
41100,2.4207
41200,2.4268
41300,2.4182
41400,2.4168
41500,2.4473
41600,2.4327
41700,2.4106
41800,2.4162
41900,2.4112
42000,2.4110
42100,2.4100
42200,2.4078
42300,2.4055
42400,2.3938
42500,2.3959
42600,2.3992
42700,2.4029
42800,2.4317
42900,2.4234
43000,2.4077
43100,2.4335
43200,2.4380
43300,2.4272
43400,2.4223
43500,2.4175
43600,2.4290
43700,2.4375
43800,2.4204
43900,2.4044
44000,2.4094
44100,2.4309
44200,2.4181
44300,2.4255
44400,2.4557
44500,2.4291
44600,2.4193
44700,2.4251
44800,2.4381
44900,2.4190
45000,2.4005
45100,2.4279
45200,2.4277
45300,2.4310
45400,2.4262
45500,2.4183
45600,2.4061
45700,2.4031
45800,2.4076
45900,2.4044
46000,2.4014
46100,2.4131
46200,2.4296
46300,2.4062
46400,2.3902
46500,2.4079
46600,2.4252
46700,2.4174
46800,2.4207
46900,2.4184
47000,2.4090
47100,2.4228
47200,2.4050
47300,2.3938
47400,2.4117
47500,2.3968
47600,2.3891
47700,2.4114
47800,2.4198
47900,2.4244
48000,2.4073
48100,2.4133
48200,2.4251
48300,2.4164
48400,2.4060
48500,2.3742
48600,2.3687
48700,2.3947
48800,2.4089
48900,2.4131
49000,2.4025
49100,2.3875
49200,2.3956
49300,2.3862
49400,2.3762
49500,2.3842
49600,2.4003
49700,2.4137
49800,2.4080
49900,2.4167
50000,2.4182
50100,2.4119
50200,2.3991
50300,2.3934
50400,2.4169
50500,2.4144
50600,2.4158
50700,2.4224
50800,2.4161
50900,2.3935
51000,2.3895
51100,2.4155
51200,2.4195
51300,2.3971
51400,2.3801
51500,2.3819
51600,2.3880
51700,2.3861
51800,2.3913
51900,2.3934
52000,2.3929
52100,2.3909
52200,2.3887
52300,2.4089
52400,2.4089
52500,2.3731
52600,2.3721
52700,2.3863
52800,2.4044
52900,2.4209
53000,2.3907
53100,2.3973
53200,2.4199
53300,2.4104
53400,2.4030
53500,2.4020
53600,2.3895
53700,2.3878
53800,2.3981
53900,2.4052
54000,2.4272
54100,2.4050
54200,2.3822
54300,2.4082
54400,2.4241
54500,2.4056
54600,2.3704
54700,2.3812
54800,2.3937
54900,2.3985
55000,2.4242
55100,2.3988
55200,2.3836
55300,2.3950
55400,2.3979
55500,2.4099
55600,2.4004
55700,2.3862
55800,2.3823
55900,2.3937
56000,2.3882
